plate,well_folder,compound,dose,dead120,dead24,area_out_lat,area_heart,area_yolk,area_ov,area_eyes,area_out_dor,length_out_lat,length_heart,length_yolk,length_ov,length_eyes,length_out_dor,bodycurvature,yolkedema,necrosis,tailbending,notochorddefects,finabsence,craniofacialedema,scoliosis,snoutjawdefects
20190918_1975_CS_R3,Well_F03,1975,0.81,0,0,44088.0,965.0,1422.0,1833.0,5453.0,37138.0,746,46,119,47,75,722,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_F04,1975,0.81,0,0,45904.0,1480.0,1749.0,2008.0,5612.0,37293.0,695,63,178,49,74,705,False,False,False,False,False,False,False,True,False
20190918_1975_CS_R3,Well_F05,1975,0.81,0,0,42870.0,1216.0,1949.0,1874.0,5281.0,35145.0,660,56,159,48,76,687,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_F06,1975,0.81,0,0,42005.0,1182.0,2131.0,1871.0,4976.0,34414.0,659,53,123,49,64,690,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_F07,1975,0.81,0,0,43116.0,1590.0,2044.0,1868.0,5459.0,36007.0,669,63,120,48,76,702,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_F08,1975,0.81,0,0,43021.0,1111.0,1501.0,1945.0,5114.0,34569.0,662,50,115,50,74,682,False,False,False,True,False,False,False,True,False
20190918_1975_CS_R3,Well_F09,1975,0.81,0,0,43488.0,1136.0,1760.0,2137.0,5390.0,36389.0,685,51,126,50,68,720,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_F10,1975,0.81,0,0,42650.0,1248.0,1832.0,1894.0,5276.0,34707.0,673,56,152,48,71,708,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_F11,1975,0.81,0,0,42575.0,1168.0,1583.0,1954.0,5212.0,35044.0,680,55,115,50,70,712,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_F12,"3,4-DCA",1.5,0,0,42411.0,1116.0,1696.0,1779.0,5115.0,35196.0,684,55,129,46,76,720,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_G01,1975,0.24,0,0,43117.0,1225.0,2358.0,1791.0,5197.0,35347.0,659,53,142,46,76,690,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_G02,1975,0.24,0,0,42455.0,1171.0,1522.0,1694.0,5327.0,34366.0,666,54,125,44,67,662,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_G03,1975,0.24,0,0,43609.0,1098.0,1750.0,1789.0,4768.0,36189.0,673,54,153,46,66,703,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_G04,1975,0.24,0,0,43391.0,1409.0,1585.0,1797.0,5024.0,35801.0,678,60,133,47,77,709,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_G05,1975,0.24,0,0,47648.0,1219.0,1848.0,2218.0,5530.0,40597.0,703,52,155,50,71,723,False,False,False,True,False,False,False,False,False
20190918_1975_CS_R3,Well_G06,1975,0.24,0,0,45546.0,1354.0,1799.0,1923.0,5274.0,37148.0,684,59,145,48,71,717,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_G07,1975,0.24,0,0,43901.0,1535.0,1619.0,2117.0,5439.0,35854.0,676,66,124,51,74,709,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_G08,1975,0.24,0,0,46267.0,1097.0,1990.0,2050.0,5234.0,36787.0,703,49,150,51,66,735,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_G09,1975,0.24,0,0,45458.0,1155.0,1925.0,2096.0,5638.0,37865.0,705,55,131,52,78,732,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_G10,1975,0.24,0,0,43619.0,1468.0,2181.0,1998.0,5217.0,36295.0,685,61,162,48,72,716,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_G11,1975,0.24,0,0,45806.0,1284.0,2308.0,1927.0,5618.0,37597.0,697,58,142,49,76,728,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_G12,"3,4-DCA",0.78,0,0,41124.0,1291.0,1443.0,1862.0,4849.0,34176.0,654,55,161,47,77,684,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_H01,1975,0.07,0,0,43537.0,977.0,1532.0,1857.0,5232.0,36257.0,667,48,135,47,80,699,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_H02,1975,0.07,0,0,44965.0,1472.0,2308.0,1807.0,5202.0,36149.0,691,60,134,47,72,718,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_H03,1975,0.07,0,0,42893.0,1107.0,1289.0,1878.0,5093.0,36446.0,670,51,103,48,77,703,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_H04,1975,0.07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_H05,1975,0.07,0,0,40060.0,1335.0,2385.0,1921.0,4917.0,34482.0,637,55,165,49,70,669,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_H06,1975,0.07,0,0,45824.0,1260.0,1596.0,1870.0,5653.0,36645.0,706,54,124,48,72,731,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_H07,1975,0.07,0,0,44222.0,1235.0,1620.0,1756.0,4895.0,35994.0,705,54,117,46,72,711,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_H08,1975,0.07,0,0,46002.0,876.0,1409.0,1955.0,5342.0,37343.0,712,45,122,50,65,724,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_H09,1975,0.07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_H10,1975,0.07,0,0,43691.0,1044.0,1602.0,1735.0,4782.0,36051.0,671,46,137,46,68,705,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_H11,1975,0.07,0,0,44292.0,1196.0,1845.0,1869.0,4732.0,35824.0,742,52,147,48,64,710,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_H12,"3,4-DCA",0.0,0,0,40385.0,1037.0,1830.0,1756.0,4937.0,32834.0,644,51,178,47,73,677,False,False,False,False,False,False,False,False,False
